product_name,brand,category,curl_patterns,porosity,concerns,ingredients,protein_treatment,sulfate_free,silicone_free,glycerin_present,price_usd
Pattern Moisture Pro #1,Pattern,shampoo,2a,low,"dryness,tangles","coconut_oil,honey,rice_water,shea_butter,tea_tree",1,1,1,0,8.04
Maui Moisture Moisture Melt Silk #2,Maui Moisture,conditioner,2a,low,scalp_balance,"castor_oil,grapeseed_oil,tea_tree",0,1,1,1,15.02
TGIN Moisture Mist Silk #3,TGIN,leave in,"2a,2b","low,medium",manageability,"biotin,glycolipids,niacinamide,rosewater,tea_tree",0,1,1,1,16.42
Maui Moisture Renew RX #4,Maui Moisture,shampoo,2a,medium,"frizz,tangles","jojoba_oil,slippery_elm,tea_tree",0,1,1,1,6.98
Camille Rose Replenish Care #5,Camille Rose,conditioner,"2a,2b",medium,"frizz,tangles","coconut_oil,macadamia_oil,mango_butter,marshmallow_root",1,1,1,0,18.9
Not Your Mother's Defining Cream Boost #6,Not Your Mother's,leave in,2a,medium,"definition,frizz","grapeseed_oil,niacinamide,rice_water,shea_butter",1,1,1,1,17.38
Camille Rose Revive Pro #7,Camille Rose,shampoo,"2a,2b","high,medium","breakage,damage","castor_oil,coconut_oil,honey,jojoba_oil,peppermint",1,1,1,1,16.88
As I Am Slip Boost #8,As I Am,conditioner,"2a,2b",high,"definition,scalp_balance","babassu_oil,hemp_seed_oil,mango_butter,rosewater,shea_butter",0,1,1,0,16.46
The Mane Choice Defining Cream Daily #9,The Mane Choice,leave in,"2a,2b",high,frizz,"argan_oil,jojoba_oil,rosewater",0,1,1,1,8.38
TGIN Cleanse Max #10,TGIN,shampoo,"2a,2b,2c",low,"breakage,tangles","argan_oil,grapeseed_oil,marshmallow_root,rosewater",1,1,1,1,9.8
As I Am Moisture Melt Care #11,As I Am,conditioner,"2b,2c",low,scalp_balance,"avocado_oil,babassu_oil,coconut_oil,macadamia_oil",0,1,0,1,9.27
Alaffia Softening Milk Care #12,Alaffia,leave in,2b,low,shine,"hemp_seed_oil,honey,rice_water,slippery_elm",0,1,1,0,16.37
Carol's Daughter Nourish Boost #13,Carol's Daughter,shampoo,2b,medium,"breakage,frizz","argan_oil,honey,marshmallow_root",1,1,1,0,17.74
